LOCATIONID,POINT1,POINT2,POINT3,POINT4
CLASSROOM,248'-0 1/4", 79'-10 3/16",248'-0 1/4", 101'-11 1/2",262'-1 3/4", 101'-11 1/2",262'-1 3/4", 79'-10 3/16"
W2,219'-9 3/8", 79'-10 13/16",219'-9 3/8", 81'-6 5/16",244'-9 3/8", 81'-6 5/16",244'-9 3/8", 79'-10 13/16"
W20,257'-0 7/8", 165'-1 5/16",257'-0 7/8", 166'-8 13/16",262'-0 7/8", 166'-8 13/16",262'-0 7/8", 165'-1 5/16"
W21,247'-0 13/16", 163'-2 7/8",247'-0 13/16", 165'-8 7/8",248'-8 5/16", 165'-8 7/8",248'-8 5/16", 163'-2 7/8"
W22,243'-8 5/16", 165'-8 7/8",243'-8 5/16", 167'-4 3/8",248'-8 5/16", 167'-4 3/8",248'-8 5/16", 165'-8 7/8"
W23,242'-0 13/16", 142'-4 3/8",242'-0 13/16", 167'-4 3/8",243'-8 5/16", 167'-4 3/8",243'-8 5/16", 142'-4 3/8"
W24,242'-0 13/16", 122'-4 3/8",242'-0 13/16", 142'-4 3/8",243'-8 5/16", 142'-4 3/8",243'-8 5/16", 122'-4 3/8"
W3,194'-9 3/8", 79'-10 13/16",194'-9 3/8", 81'-6 5/16",219'-9 3/8", 81'-6 5/16",219'-9 3/8", 79'-10 13/16"
W4,169'-9 3/8", 79'-10 13/16",169'-9 3/8", 81'-6 5/16",194'-9 3/8", 81'-6 5/16",194'-9 3/8", 79'-10 13/16"
W5,144'-9 3/8", 79'-10 13/16",144'-9 3/8", 81'-6 5/16",169'-9 3/8", 81'-6 5/16",169'-9 3/8", 79'-10 13/16"
W6,119'-9 3/8", 79'-10 13/16",119'-9 3/8", 81'-6 5/16",144'-9 3/8", 81'-6 5/16",144'-9 3/8", 79'-10 13/16"
W7,109'-9 3/8", 79'-10 13/16",109'-9 3/8", 81'-6 5/16",119'-9 3/8", 81'-6 5/16",119'-9 3/8", 79'-10 13/16"
W8,107'-1 7/8", 82'-3 13/16",107'-1 7/8", 107'-3 13/16",108'-9 3/8", 107'-3 13/16",108'-9 3/8", 82'-3 13/16"
W9,107'-1 7/8", 107'-3 13/16",107'-1 7/8", 112'-3 13/16",108'-9 3/8", 112'-3 13/16",108'-9 3/8", 107'-3 13/16"
